Icon,Lat,Long,Location,notes
WC accessible,43.1276125,-77.6291051,Bausch & Lomb,Bausch & Lomb elevator
WC inaccessible,43.1268674,-77.6298621,Dewey,lower level elevator on south side of Dewey
WC accessible,43.1274355,-77.6299342,Dewey,main elevator on north side of Dewey
WC inaccessible,43.1280796,-77.6307938,Lattimore,Lattimore elevator
WC accessible,43.1283968,-77.629964,Morey,Morey elevator
WC inaccessible,43.128426,-77.6282768,Rush Rhees,Rush Rhees yellow elevators
WC inaccessible,43.1285562,-77.6284588,Rush Rhees,Rush Rhees blue elevators
WC accessible,43.1287886,-77.6283118,Rush Rhees,Rush Rhees green elevators
WC accessible,43.1285332,-77.6287911,Rush Rhees,Rush Rhees silver elevators
WC accessible,43.1285692,-77.6280382,Rush Rhees,iZone elevator
WC accessible,43.1285175,-77.6293638,Morey,Morey elevator
WC accessible,43.1282199,-77.6315052,Todd Union,Todd elevator
WC accessible,43.1291732,-77.6269654,UHS,UHS elevator
WC accessible,43.1270961,-77.6324882,Interfaith Chapel,Chapel elevator
WC accessible,43.1277821,-77.628313,Meliora,Meliora elevator
WC accessible,43.1289073,-77.629718,Wilson Commons,Wilson commons elevator
WC accessible,43.1289347,-77.6285968,Douglass,elevator on south side of Douglass
WC accessible,43.1291539,-77.6287416,Douglass,elevator on north side of Douglass
WC accessible,43.1249443,-77.6308959,Hutchinson,Hutchinson elevator
WC accessible,43.124915,-77.6306354,Hutchinson,Hutchinson elevator
WC accessible,43.1256463,-77.630248,Hylan,Hylan elevator
stairs,43.1276688,-77.6294263,Bausch & Lomb,
stairs,43.1278215,-77.629013,Bausch & Lomb,
stairs,43.1273017,-77.6290454,Bausch & Lomb,
stairs,43.1293054,-77.631355,Burton,
stairs,43.1292582,-77.6314721,Burton,
stairs,43.12934,-77.631243,Burton,
steps,43.1292073,-77.6314372,outside,burton entrance
steps,43.1292527,-77.6313251,outside,burton entrance
steps,43.1292927,-77.6312056,outside,burton entrance
steps,43.1278898,-77.629309,outside,b&l entrance
stairs,43.1269542,-77.6298441,Dewey,
stairs,43.1271962,-77.6299666,Dewey,
stairs,43.1274355,-77.6300423,Dewey,
stairs,43.1273277,-77.6302874,Dewey,
steps,43.1275354,-77.6302513,outside,dewey entrance
stairs,43.1274329,-77.6295342,Hoyt,
stairs,43.1274118,-77.6296135,Hoyt,
steps,43.127437,-77.6297163,outside,hoyt entrance
steps,43.1275113,-77.6295178,outside,hoyt entrance
stairs,43.1275485,-77.6297659,outside,hoyt stairs
stairs,43.1275985,-77.629621,outside,hoyt stairs
stairs,43.1283633,-77.6308529,Lattimore,
stairs,43.1281519,-77.630689,Lattimore,
steps,43.1280086,-77.6305709,outside,lattimore entrance
stairs,43.1284164,-77.6298514,Morey,
stairs,43.1285104,-77.6296046,Morey,
stairs,43.1282961,-77.6298432,outside,morey entrance
stairs,43.1283492,-77.6296488,outside,morey entrance
steps,43.1284373,-77.6294587,outside,morey entrance
stairs,43.1286647,-77.6300753,Rettner,
stairs,43.1285523,-77.6301978,Rettner,
stairs,43.1284771,-77.6284728,Rush Rhees,
stairs,43.1283877,-77.6283713,Rush Rhees,
stairs,43.1285358,-77.6283328,Rush Rhees,
stairs,43.1285179,-77.627899,Rush Rhees,
stairs,43.1283698,-77.6289871,Rush Rhees,
stairs,43.1283162,-77.6286512,Rush Rhees,
stairs,43.1284745,-77.6287526,Rush Rhees,
stairs,43.1282856,-77.629008,outside,rush rhees entrance
stairs,43.1275883,-77.6311369,outside,set of stairs leading up to quad
stairs,43.1275439,-77.6310123,outside,set of stairs leading up to quad
stairs,43.1274337,-77.6310388,outside,set of stairs leading up to quad
stairs,43.1279407,-77.6312298,outside,stairs between lattimore and strong
stairs,43.1285883,-77.6291013,outside,stairs from quad to douglass
stairs,43.128738,-77.6290179,outside,stairs from rush rhees to wilco
stairs,43.1287609,-77.6289171,outside,stairs from douglass to plaza
stairs,43.1278049,-77.628136,Meliora,meliora stairs facing rush rhees
stairs,43.1277523,-77.6280932,Meliora,meliora stairs facing harkness
stairs,43.127457,-77.6282547,outside,meliora stairs entering second floor
stairs,43.1271664,-77.632281,Interfaith Chapel,chapel stairs
stairs,43.1289425,-77.6297609,Wilson Commons,main spiral stairs in wilson commons
stairs,43.1288016,-77.6297126,Wilson Commons,stairs from 1st to 2nd floor of wilson commons
stairs,43.1289425,-77.6301096,Wilson Commons,stairs to enter Wilson Commons
stairs,43.1292518,-77.6290259,Douglass,stairs to enter Douglass
stairs,43.1290717,-77.6287524,Douglass,main stairs in Douglass
stairs,43.1289817,-77.6286934,Douglass,main stairs in Douglass
stairs,43.1288955,-77.6286773,Douglass,side staircase in Douglass
stairs,43.1289778,-77.6290689,Douglass,side staircase in Douglass
stairs,43.1292714,-77.6287148,Douglass,side staircase in Douglass
stairs,43.1255926,-77.630228,Hylan,Hylan staircase
stairs,43.1249004,-77.6305753,Hutchinson,lower level Hutchinson stairs
stairs,43.1250174,-77.6307356,Hutchinson,main Hutchinson stairs
ramp,43.1278946,-77.6292573,Eastman Quad,b&l entrance
ramp,43.1275275,-77.6302802,Eastman Quad,dewey entrance
ramp,43.1280017,-77.6305957,Eastman Quad,lattimore entrance
ramp,43.1284461,-77.6294503,Eastman Quad,morey entrance
ramp,43.1285883,-77.6290144,Eastman Quad,ramp from quad to douglass
ramp,43.1304014,-77.6288796,Fauver Stadium,Ramp to Fauver Facility
ramp,43.1279529,-77.6313895,Eastman Quad,Strong entrance
ramp,43.1277508,-77.6312232,Eastman Quad,Strong entrance
ramp,43.1285032,-77.6313804,Eastman Quad,Lechase Entrance
ramp,43.1287667,-77.6306938,Eastman Quad,Lechase Entrance
ramp,43.1280532,-77.6288312,Eastman Quad,On the way to Meliora
ramp,43.1278104,-77.6293376,Eastman Quad,Bausch Entry
bench,43.1284767,-77.6291222,Eastman Quad,front of rush rhees
bench,43.128124,-77.6288823,Eastman Quad,front of rush rhees
bench,43.1288705,-77.6290047,Eastman Quad,douglass patio seating
bench,43.1289136,-77.6291993,Eastman Quad,plaza seating
bench,43.129076,-77.6293036,Eastman Quad,plaza seating
bench,43.1283067,-77.6297827,Eastman Quad,front of morey
bench,43.1282528,-77.6300452,Eastman Quad,between morey and lattimore
bench,43.1281894,-77.6302399,Eastman Quad,between morey and lattimore
bench,43.1277758,-77.6310082,Eastman Quad,next to lattimore
bench,43.1274054,-77.6307613,Eastman Quad,next to dewey
bench,43.1276439,-77.6298366,Eastman Quad,front of hoyt
bench,43.1276896,-77.6296767,Eastman Quad,front of hoyt
bench,43.1286943,-77.6287485,Eastman Quad,by rush rhees/douglass ramp
bench,43.1279176,-77.6299363,Eastman Quad,Cehter of Plaza
bench,43.1269973,-77.6321136,Interfaith Chapel,Front of chapel
bench,43.1271941,-77.6322544,Interfaith Chapel,front of chapel
bench,43.1265114,-77.631798,Interfaith Chapel,
bench,43.1276986,-77.6275968,Eastman quad,Near Meliora Hall
bench,43.1274324,-77.6281386,Eastman Quad,"Near Meliora, group of 3"
stairs,43.1250177,-77.6299398,Computer Studies,stairs near elevators for Computer Studies Building
stairs,43.1252232,-77.6297066,Computer Studies,stairs on east side of Computer Studies Building
stairs,43.1250867,-77.6300898,Carlson,Carlson stairs to Hutchinson
stairs,43.1250429,-77.6301868,Carlson,main Carlson stairs
stairs,43.1251859,-77.6294734,Goergen,
stairs,43.1255212,-77.6294388,Goergen,
stairs,43.1253738,-77.6294282,Goergen,
stairs,43.1257885,-77.6294586,Goergen,
WC accessible,43.1250143,-77.6300021,Computer Studies,Computer Studies Building elevator
WC accessible,43.1250429,-77.6301291,Carlson,Carlson elevator
WC accessible,43.1256914,-77.6291225,Goergen,Elevator between Goergen and Wilmot
